average    since         example     example  current  current  current
loss       last          counter      weight    label  predict features
0.693147   0.693147            1         1.0  -1.0000   0.0000       20
0.490930   0.288713            2         2.0  -1.0000  -1.0945       19
0.332967   0.175003            4         4.0  -1.0000  -1.9197       19
0.211077   0.089188            8         8.0  -1.0000  -2.8381       20
0.315988   0.420898           16        16.0  -1.0000  -2.7826       19
0.276727   0.237465           32        32.0  -1.0000  -3.3049       20
0.285584   0.294442           64        64.0  -1.0000  -2.4849       21
0.268502   0.251420          128       128.0  -1.0000  -3.1959       18
0.343897   0.419292          256       256.0  -1.0000  -3.0161       19
0.357078   0.370259          512       512.0   1.0000  -4.3971       20
0.315720   0.274361         1024      1024.0  -1.0000  -3.4862       19
0.319157   0.322594         2048      2048.0  -1.0000  -2.9906       18
0.295940   0.272723         4096      4096.0  -1.0000  -5.3413       20
0.280494   0.265049         8192      8192.0  -1.0000  -1.8926       20
0.273891   0.267288        16384     16384.0  -1.0000  -1.1881       19
0.271152   0.268413        32768     32768.0  -1.0000  -1.4032       19
0.262322   0.253492        65536     65536.0  -1.0000  -6.3107       19
0.257796   0.253269       131072    131072.0  -1.0000  -4.4277       19
0.270855   0.283914       262144    262144.0  -1.0000  -4.5833       21
0.308509   0.346163       524288    524288.0   1.0000  -1.6347       20
0.343711   0.378913      1048576   1048576.0  -1.0000  -0.8584       18
0.385226   0.426740      2097152   2097152.0  -1.0000  -1.6382       18
0.396283   0.407339      4194304   4194304.0  -1.0000  -2.5721       21
0.401151   0.406019      8388608   8388608.0  -1.0000  -2.9932       21
0.389957   0.378764     16777216  16777216.0  -1.0000  -2.6365       21
0.387093   0.384229     33554432  33554432.0  -1.0000  -1.7244       19
0.383246   0.383246     67108864  67108864.0  -1.0000   0.0309       19 h
0.383152   0.383057    134217728 134217728.0  -1.0000  -1.6349       21 h
0.693147   0.693147            1         1.0  -1.0000   0.0000       26
0.481728   0.270308            2         2.0  -1.0000  -1.1700       26
0.362616   0.243505            4         4.0  -1.0000  -1.5172       26
0.546459   0.730302            8         8.0  -1.0000  -1.6091       26
0.475003   0.403546           16        16.0  -1.0000  -1.9506       26
0.278697   0.082391           32        32.0  -1.0000  -3.5377       26
0.270896   0.263095           64        64.0  -1.0000  -3.6574       26
0.241380   0.211864          128       128.0  -1.0000  -3.1855       26
0.292616   0.343851          256       256.0  -1.0000  -2.3300       26
0.311060   0.329505          512       512.0  -1.0000  -2.2772       26
0.278166   0.245272         1024      1024.0  -1.0000  -4.5994       26
0.289358   0.300550         2048      2048.0  -1.0000  -1.6799       26
0.274971   0.260585         4096      4096.0  -1.0000  -1.7078       26
0.259777   0.244582         8192      8192.0  -1.0000  -3.6064       26
0.257449   0.255121        16384     16384.0  -1.0000  -4.9672       26
0.258678   0.259907        32768     32768.0  -1.0000  -4.4247       26
0.254372   0.250065        65536     65536.0  -1.0000  -0.9244       26
0.250281   0.246190       131072    131072.0  -1.0000  -4.1626       26
0.262360   0.274440       262144    262144.0   1.0000   1.0129       26
0.288467   0.314574       524288    524288.0  -1.0000  -2.5431       26
0.330508   0.372548      1048576   1048576.0  -1.0000  -1.3101       26
0.366789   0.403070      2097152   2097152.0   1.0000   0.6036       26
0.414241   0.461693      4194304   4194304.0  -1.0000  -0.4571       26
0.416212   0.418182      8388608   8388608.0  -1.0000  -2.3148       26
0.398300   0.380389     16777216  16777216.0  -1.0000  -2.8473       26
0.382760   0.367220     33554432  33554432.0  -1.0000  -2.2862       26
